,MisconceptionId,MisconceptionName,response
27,27,Believes squaring a fraction requires you to double both parts,"<Construct Name>Understanding fraction multiplication and exponentiation</Construct Name>
<Subject Name>Arithmetic and Number Operations</Subject Name>
<Question>\( \left(\frac{3}{5}\right)^2 = \)</Question> 
<Correct Answer>\( \frac{9}{25} \)</Correct Answer>
<Incorrect Answer>\( \frac{6}{10} \)</Incorrect Answer>
"
28,28,Thinks the interior angles of any polygon add up to 360,"<Construct Name>Understand the sum of the interior angles in various polygons </Construct Name>
<Subject Name>Angles in Polygons </Subject Name>
<Question>Calculate the sum of the interior angles in a regular nonagon (9-sided polygon). ![Image of a regular nonagon with sides equal in length]() </Question>
<Correct Answer>\( 1260^{\degree} \) </Correct Answer>
<Incorrect Answer>\( 360^{\degree} \) </Incorrect Answer>
"
29,29,Forgot to simplify the fraction,"<Construct Name>Multiply two fractions together</Construct Name>
<Subject Name>Multiplication of Fractions</Subject Name>
<Question>Multiply \( \frac{3}{4} \) by \( \frac{2}{3} \). Write your answer in its simplest form.</Question>
<Correct Answer>\( \frac{1}{2} \)</Correct Answer>
<Incorrect Answer>\( \frac{6}{12} \)</Incorrect Answer>
"
30,30,"When asked for a number n times smaller or bigger, subtracts or adds n","<Construct Name>Understanding Multiplication and Division </Construct Name>
<Subject Name>Basic Arithmetic Operations </Subject Name>
<Question>If a bag contains 10 marbles and you have a number of bags that is 5 times smaller, how many marbles do you have? </Question> 
<Correct Answer>2 </Correct Answer>
<Incorrect Answer>5 </Incorrect Answer>
"
31,31,Does not understand bar modelling in algebra,"<Construct Name>Interpret and solve equations using bar models </Construct Name>
<Subject Name>Solving Linear Equations </Subject Name>
<Question>Sam has twice as many marbles as Jen. If Jen has \( x \) marbles, which bar model correctly shows the relationship between Sam's and Jen's marbles? </Question> 
<Correct Answer>![Sam's marbles represented by two sections labeled \( x \) and \( x \), and Jen's marbles represented by one section labeled \( x \).]() </Correct Answer>
<Incorrect Answer>![Sam's marbles represented by one section labeled \( 2 \) and Jen's marbles represented by one section labeled \( x \).]() </Incorrect Answer>
"
32,32,"When squaring a variable, believes they also need to square the coefficient","<Construct Name>Solving quadratic equations by completing the square</Construct Name>
<Subject Name>Quadratic Equations</Subject Name>
<Question>Solve the quadratic equation by completing the square: \( x^2 + 6x + 5 = 0 \)</Question>
<Correct Answer>\( x = -3 \pm \sqrt{4} = -3 \pm 2, \) so \( x = -1 \) or \( x = -5 \)</Correct Answer>
<Incorrect Answer>\( x = -6 \pm \sqrt{36} = -6 \pm 6, \) so \( x = 0 \) or \( x = -12 \)</Incorrect Answer>
"
33,33,Uses more than 3 letters to describe an angle,"<Construct Name>Label angles using correct 3-letter notation (e.g., angle ADB) </Construct Name>
<Subject Name>Geometry: Angle Measurements and Notations</Subject Name>
<Question>Given a diagram with a triangle ABC, where a line BD bisects angle ABC. How would you correctly denote the angle formed between line BD and line BC?</Question> 
<Correct Answer>\( \mathrm{BDC} \) </Correct Answer>
<Incorrect Answer>ABDC </Incorrect Answer>
"
34,34,Believes dividing a negative by a positive gives a positive answer,"<Construct Name>Evaluate expressions involving the division of negative integers</Construct Name>
<Subject Name>Basic Arithmetic Operations with Negative Numbers</Subject Name>
<Question>Alice tried to calculate the result of dividing the temperature decrease overnight. If the temperature went from 0°C down to -24°C in 8 hours, what was the average rate of temperature change per hour? 

Alice writes: \( \frac{-24}{8} = 3 \) 

Is Alice correct? </Question> 
<Correct Answer>\( \frac{-24}{8} = -3 \) </Correct Answer>
<Incorrect Answer>\( \frac{-24}{8} = 3 \) </Incorrect Answer>
"
35,35,Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles,"<Construct Name>$$Find the total sum of interior angles of a polygon$$</Construct Name>
<Subject Name>$$Geometry$$</Subject Name>
<Question>$$What is the sum of the interior angles of an octagon?$$</Question>
<Correct Answer>$$1080^{\degree}$$</Correct Answer>
<Incorrect Answer>$$1440^{\degree}$$</Incorrect Answer>
"
36,36,Enlarges by the wrong centre of enlargement,"<Construct Name>$$Enlarge a shape, with a centre of enlargement given, by a scale factor, where the misunderstanding arises due to selecting an incorrect centre of enlargement$$</Construct Name>
<Subject Name>$$Transformation Geometry$$</Subject Name>
<Question>$$A square is enlarged with a scale factor of \( 2 \), with the centre of enlargement at \( (-2,-2) \). The square has vertices at \( (0,0), (0,2), (2,2), \) and \( (2,0) \). Find the new coordinates of the vertex originally at \( (2,2) \).$$</Question> 
<Correct Answer>$$(-2,2)$$</Correct Answer>
<Incorrect Answer>$$(-4,4)$$</Incorrect Answer>
"
37,37,Rounded to wrong degree of accuracy (2sf not 1sf),"<Construct Name>Round to nearest whole number using significant figures </Construct Name>
<Subject Name>Significant Figures </Subject Name>
<Question>Michael wants to round the number \( 145.89 \) to the nearest whole number using significant figures for a quick estimation.

What should the number \( \mathbf{1 4 5 . 8 9} \) be rounded to for his purpose? </Question> 
<Correct Answer>\( 146 \) </Correct Answer>
<Incorrect Answer>\( 150 \) </Incorrect Answer>
"
38,38,Believes the sides of an inequality can be switched without changing the direction of the sign,"<Construct Name>Solve compound inequalities involving “and” & “or” that require three or more steps and the variable appears on one or both sides of the equation </Construct Name>
<Subject Name>Solving Compound Inequalities </Subject Name>
<Question>Solve the inequality:
\[
5 - 2(x - 3) > 1 \text{ and } 3x - 4 \leq 2x + 5
\] </Question> 
<Correct Answer>\( x > 4 \text{ and } x \leq 9 \) </Correct Answer>
<Incorrect Answer>\( x < 4 \text{ and } x \geq 9 \) </Incorrect Answer>
"
39,39,Multiplies by 1000 instead of 100 when converting a decimal to a percentage,"<Construct Name>Convert a Fraction to a Percentage </Construct Name>
<Subject Name>Converting between Fractions, Decimals, and Percentages </Subject Name>
<Question>Convert this fraction to a percentage: 
\(
\frac{1}{2}
\) </Question> 
<Correct Answer>\( 50 \% \) </Correct Answer>
<Incorrect Answer>\( 500 \% \) </Incorrect Answer>
"
40,40,Believes midpoint multiplied by frequency is equivalent to frequency density,"<Construct Name>Calculating frequency density from grouped data in histograms </Construct Name>
<Subject Name>Histograms </Subject Name>
<Question>Given a class interval of \(10-20\) with a frequency of \(30\), calculate the frequency density if the class width is \(10\). </Question> 
<Correct Answer>$$3$$ </Correct Answer>
<Incorrect Answer>$$15$$ </Incorrect Answer>
"
41,41,Believes the mean is the number of categories given divided by something,"<Construct Name>Calculate the mean of a given data set</Construct Name>
<Subject Name>Statistics</Subject Name>
<Question>A survey asked 10 people how many books they read in the past year. The results were as follows: 3 books, 7 books, 0 books, 2 books, 5 books, 1 book, 4 books, 6 books, 2 books, and 3 books. Calculate the mean number of books read.</Question>
<Correct Answer>3.3 books</Correct Answer>
<Incorrect Answer>1 book</Incorrect Answer>
"
42,42,Believes that the complement of a set includes any elements which are also in another set.,"<Construct Name>Identify the regions on a double Venn diagram given in set notation </Construct Name>

<Subject Name>Venn Diagrams </Subject Name>

<Question>Which element(s) is/are in \( A^{\prime} \) ? ![A diagram showing a Venn diagram of 2 circles. The left circle is for Set A and contains apple in its left part, orange in the intersection. The right circle is for set B and contains banana in its right part, orange in the intersection. Outside of the circles it says grape.]() </Question>

<Correct Answer>banana & grape </Correct Answer>

<Incorrect Answer>orange, banana & grape </Incorrect Answer>
"
43,43,Confuses the terms edges and vertices,"<Construct Name>Counting Edges and Vertices of Geometric Shapes </Construct Name>
<Subject Name>Geometry </Subject Name>
<Question>How many vertices does a cube have?</Question> 
<Correct Answer>8 </Correct Answer>
<Incorrect Answer>12 </Incorrect Answer>
"
44,44,"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds","<Construct Name>Add surds in the form va + vb </Construct Name>  
<Subject Name>Simplifying Surds </Subject Name>  
<Question>\( \sqrt{20}+\sqrt{45} \) Simplify, if possible. </Question>  
<Correct Answer>\( 5 \sqrt{5} \) </Correct Answer>  
<Incorrect Answer>\( \sqrt{65} \) </Incorrect Answer>  

<Construct Name>Subtract surds in the form va - vb </Construct Name>  
<Subject Name>Simplifying Surds </Subject Name>  
<Question>\( \sqrt{50}-\sqrt{32} \) Simplify, if possible. </Question>  
<Correct Answer>\( \sqrt{18} = 3\sqrt{2} \)</Correct Answer>  
<Incorrect Answer>\( \sqrt{18} \) as calculated directly by \( \sqrt{50-32}\) </Incorrect Answer>  

<Construct Name>Simplification of Surds then Add </Construct Name>  
<Subject Name>Adding and Subtracting Surds </Subject Name>  
<Question>\( 3\sqrt{8} + 2\sqrt{18} \) Simplify, if possible. </Question>  
<Correct Answer>\( 3 \times 2\sqrt{2} + 2 \times 3\sqrt{2} = 12\sqrt{2} \) </Correct Answer>  
<Incorrect Answer>\( \sqrt{26} \) </Incorrect Answer>  
"
45,45,"When asked for the value of a digit, gives an answer 10 times too big","<Construct Name>$$Understanding decimal place value$$</Construct Name>
<Subject Name>$$Decimals$$</Subject Name>
<Question>$$What is the value of the \(6\) in the number below?
\(
34.678
\)$$</Question>
<Correct Answer>$$0.06$$</Correct Answer>
<Incorrect Answer>$$0.6$$</Incorrect Answer>
"
46,46,Does not realise that division can be broken down into factors,"<Construct Name>Understanding Factorization Method in Polynomials</Construct Name>
<Subject Name>Polynomial Division </Subject Name>
<Question>What is the simplified form of \(\frac{x^2 - 9}{x - 3}\)?</Question>
<Correct Answer>\(x + 3\)</Correct Answer>
<Incorrect Answer>\(\frac{x^2}{x} - \frac{9}{3}\)</Incorrect Answer>
"
47,47,Believes y=-f(x) is a reflection in y=x,"<Construct Name>Identify horizontal reflections for trigonometric functions</Construct Name>
<Subject Name>Transformations of trigonometric functions</Subject Name>
<Question>What transformation maps the graph of 
\(y= \sin(x)\) 
to the graph of 
\(y= -\sin(x)\)?</Question>
<Correct Answer>Reflection in the 
\[
x \text{-axis}
\]</Correct Answer>
<Incorrect Answer>Reflection in the line 
\[
y=x
\]</Incorrect Answer>
"
48,48,Thinks corresponding angles sum to 360 degrees,"<Construct Name>Find corresponding angles on parallel lines </Construct Name>

<Subject Name>Angle Relationships and Properties </Subject Name>

<Question>Given two parallel lines cut by a transversal. If one of the corresponding angles is \( 85^\circ \), find the measure of the corresponding angle on the parallel line.</Question>

<Correct Answer>\( 85^\circ \) </Correct Answer>

<Incorrect Answer>\( 275^\circ \) </Incorrect Answer>
"
49,49,Doesn't believe that when you divide by 0 the answer will always be 0,"<Construct Name>Understanding Division and Fractions</Construct Name>
<Subject Name>Basic Arithmetic Operations</Subject Name>
<Question>Calculate the result of dividing a number by 0:
\[
\frac{8}{0}
\]</Question>
<Correct Answer>Undefined</Correct Answer>
<Incorrect Answer>\( 0 \)</Incorrect Answer>
"
50,50,"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction","<Construct Name>Finding the Whole from a Non-Unit Fraction </Construct Name>
<Subject Name>Fractions and Proportions </Subject Name>
<Question>John eats \( \frac{3}{4} \) of a pizza. If the portion he ate represents 9 slices, how many slices were in the whole pizza?</Question> 
<Correct Answer>\( 12 \) slices </Correct Answer>
<Incorrect Answer>\( 12 \times \frac{3}{4} = 9 \) slices </Incorrect Answer>
"
51,51,Does not use angle facts when setting up an equation from an angle diagram,"<Construct Name>Use angles in parallel lines to find missing angles</Construct Name>
<Subject Name>Basic Angle Facts (corresponding, alternate, co-interior angles, etc)</Subject Name>
<Question>![A parallel line diagram with angles labeled as follows: \(x\), \(2x+10\), and \(3x-20\)]() Given the diagram with parallel lines and a transversal, find the value of \(x\).</Question> 
<Correct Answer>\(30^\circ\)</Correct Answer>
<Incorrect Answer>\(x = 25^\circ\)</Incorrect Answer>
"
52,52,When asked for a specific term in a sequence gives the term before,"<Construct Name>Identify and calculate the specific term in an arithmetic sequence based on a given pattern</Construct Name>
<Subject Name>Arithmetic Sequences</Subject Name>
<Question>Consider an arithmetic sequence where the first term is 3, and the common difference is 4. What is the value of the 6th term in this sequence?</Question>
<Correct Answer>\( 23 \)</Correct Answer>
<Incorrect Answer>\( 19 \)</Incorrect Answer>
"
53,53,Thinks circumference is radius x pi,"<Construct Name>Calculate the circumference of a circle given the radius </Construct Name>
<Subject Name>Geometry </Subject Name>
<Question>Given a circle with a radius of 4 cm, calculate its circumference. Use the formula \(C = 2\pi r\) where \(r\) is the radius of the circle. </Question> 
<Correct Answer>\( 8\pi \) cm or approximately 25.13 cm </Correct Answer>
<Incorrect Answer>\( 4\pi \) cm or approximately 12.57 cm </Incorrect Answer>
"
54,54,Believes the arrow on a number line points to the middle value,"<Construct Name>Identify the correct position of a specified value on a temperature scale</Construct Name>
<Subject Name>Understanding Positive and Negative Numbers </Subject Name>
<Question>![A vertical temperature scale with marks at every 2 degrees from -10°C to 10°C. An arrow is pointing to a dash between -4°C and -2°C.]() What temperature is the arrow pointing to? </Question> 
<Correct Answer>\( -3°C \) </Correct Answer>
<Incorrect Answer>\( 0°C \) </Incorrect Answer>
"
55,55,"When subtracting a negative number from a positive number, uses a method which assumes one of the negative signs can be ignored ","<Construct Name>Addition and Subtraction of Integers</Construct Name>
<Subject Name>Integer Operations</Subject Name>
<Question>Calculate the result of the operation: \(12 - (-3)\)</Question>
<Correct Answer>\(15\)</Correct Answer>
<Incorrect Answer>\(9\)</Incorrect Answer>
"
56,56,Assumes a negative number is not rational,"<Construct Name>Identify Rational Numbers</Construct Name>
<Subject Name>Number Theory</Subject Name>
<Question>Is \(-\frac{3}{4}\) a rational number?</Question>
<Correct Answer>Yes</Correct Answer>
<Incorrect Answer>No</Incorrect Answer>
"
57,57,Believes the solution to mx + c = a is the x intercept of y = mx +c,"<Construct Name>Given a sketch of a linear graph solve f(x) = n </Construct Name>
<Subject Name>Algebra and Functions </Subject Name>
<Question>This is the graph of \( y=3x+2 \). According to the graph, what is the solution to: \( 3x+2=5 \)? ![Graph showing straight line with y intercept (0,2) and x intercept (-2/3,0)]() </Question> 
<Correct Answer>\( x=1 \) </Correct Answer>
<Incorrect Answer>\( x=-\frac{2}{3} \) </Incorrect Answer>
"
58,58,"When dividing, confuses the remainder with the quotient","<Construct Name>Dividing integers and identifying remainders</Construct Name>
<Subject Name>Basic Arithmetic</Subject Name>
<Question>What is the quotient and remainder when 85 is divided by 4?</Question>
<Correct Answer>Quotient: \(21\), Remainder: \(1\)</Correct Answer>
<Incorrect Answer>Quotient: \(1\), Remainder: \(21\)</Incorrect Answer>
"
59,59,Cannot identify a common factor when simplifying algebraic fractions,"<Construct Name>Simplifying Algebraic Fractions</Construct Name>
<Subject Name>Algebra</Subject Name>
<Question>\( \frac{4x^2 - 16}{2x} \)</Question>
<Correct Answer>\( 2x - 8 \)</Correct Answer>
<Incorrect Answer>\( \frac{2x^2 - 8}{x} \)</Incorrect Answer>
"
60,60,"Has written the value of the 'ones' column as the answer, withiut using the numbers in the question.","<Construct Name>Addition of multi-digit numbers with regrouping </Construct Name>
<Subject Name>Addition </Subject Name>
<Question>\( \begin{array}{r} 764 \\ +348 \\ \hline \end{array} \) What number will be in the ones/units column of the final answer? </Question>
<Correct Answer>\( 2 \) </Correct Answer>
<Incorrect Answer>\( 8 \) </Incorrect Answer>
"
61,61,Multiplies by 10 instead of 100 when converting decimal to percentage,"<Construct Name>Convert decimals greater than 1 to percentages </Construct Name>
<Subject Name>Converting between Decimals and Percentages </Subject Name>
<Question>Write \( 1.23 \) as a percentage. </Question> 
<Correct Answer>\( 123 \% \) </Correct Answer>
<Incorrect Answer>\( 12.3 \% \) </Incorrect Answer>
"
62,62,Does not realise that a curved line represents a changing gradient,"<Construct Name>Understanding the gradient of a curve at a point</Construct Name>
<Subject Name>Calculus, Differentiation </Subject Name>
<Question>What is the gradient of the curve \( y = x^{2} \) at \( x = 2 \) ? </Question> 
<Correct Answer>\( 4 \) </Correct Answer>
<Incorrect Answer>The student might say the gradient is constant and not realize it changes; hence, no specific incorrect answer but a conceptual misunderstanding. </Incorrect Answer>
"
