,MisconceptionId,MisconceptionName,response
0,0,Does not know that angles in a triangle sum to 180 degrees,"<Construct Name>Properties of a Triangle</Construct Name>
<Subject Name>Geometry</Subject Name>
<Question>If triangle ABC has angles \( \angle A = x \), \( \angle B = 45^{\circ} \), and \( \angle C = 75^{\circ} \), what is the value of \( x \)?</Question>
<Correct Answer>\(60^{\circ}\). Start with the principle that the sum of angles in a triangle is \(180^{\circ}\). Therefore, \(x + 45^{\circ} + 75^{\circ} = 180^{\circ}\). Solving for \(x\), we get \(x = 180^{\circ} - 120^{\circ} = 60^{\circ}\).</Correct Answer>
<Incorrect Answer>Not enough information. The student might think additional side lengths or more information is needed to determine angle \( x \), due to not realizing the sum of angles in a triangle is always \(180^{\circ}\).</Incorrect Answer>
"
1,1,Uses dividing fractions method for multiplying fractions,"<Construct Name>Multiplying Two Proper Fractions</Construct Name>
<Subject Name>Fraction Multiplication</Subject Name>
<Question> What is the product of \( \frac{3}{4} \times \frac{5}{6} \)? </Question>
<Correct Answer>\( \frac{15}{24} \) </Correct Answer>
<Incorrect Answer>\( \frac{18}{20} \) </Incorrect Answer>
"
2,2,Believes there are 100 degrees in a full turn,"<Construct Name>Identifying the degrees in rotational measurements</Construct Name>  
<Subject Name>Geometry</Subject Name>  
<Question>If an object rotates \( \frac{1}{2} \) of a complete turn, how many degrees does it rotate? </Question>  
<Correct Answer>\( 180^{\circ} \) </Correct Answer>  
<Incorrect Answer>\( 50^{\circ} \) </Incorrect Answer>  
"
3,3,"Thinks a quadratic without a non variable term, can not be factorised","<Construct Name>Factoring Quadratic Expressions with Common Factors</Construct Name>
<Subject Name>Algebra</Subject Name>
<Question>Factorise this expression, if possible:
\( x^{2} + 5x \) </Question> 
<Correct Answer>\( x(x + 5) \) </Correct Answer>
<Incorrect Answer>Does not factorise</Incorrect Answer>
"
4,4,Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c,"<Construct Name>Simplify algebraic expressions with a combination of a variable and a constant </Construct Name>  
<Subject Name>Basic Algebra </Subject Name>  
<Question>Simplify, if possible:  
\[ b+3 \] </Question>  
<Correct Answer>Does not simplify </Correct Answer>  
<Incorrect Answer>\( b^{3} \) </Incorrect Answer>  

<Construct Name>Simplify expressions involving exponents and coefficients </Construct Name>  
<Subject Name>Properties of Exponents </Subject Name>  
<Question>Evaluate, if possible:  
\[ 2 + x \] </Question>  
<Correct Answer>Does not evaluate further </Correct Answer>  
<Incorrect Answer>\( 2^{x} \) </Incorrect Answer>  

<Construct Name>Identify and perform basic algebraic operations </Construct Name>  
<Subject Name>Linear Equations </Subject Name>  
<Question>Simplify, if possible:  
\[ m + 4 \] </Question>  
<Correct Answer>Does not simplify </Correct Answer>  
<Incorrect Answer>\( m^{4} \) </Incorrect Answer>
"
5,5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead","<Construct Name>Identifying Reflex Angles</Construct Name>  
<Subject Name>Geometry</Subject Name>  
<Question>In a circular park, a walking path from point A to point B goes around an angle measuring 320 degrees. What is the reflex angle of this path?</Question>  
<Correct Answer>The reflex angle is 40 degrees.</Correct Answer>  
<Incorrect Answer>The reflex angle is 320 degrees.</Incorrect Answer>  
"
6,6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,"<Construct Name>Identify equivalent fractions when using word problems</Construct Name>
<Subject Name>Fraction Equivalence in Word Problems</Subject Name>
<Question>Samantha bakes a cake and serves \(\frac{3}{4}\) of it to her guests. Later, she wants to write down how much cake she served as an equivalent fraction with a denominator of 16. What fraction should she write?</Question>
<Correct Answer>\(\frac{3}{4} = \frac{12}{16}\)</Correct Answer>
<Incorrect Answer>\(\frac{3}{4} = \frac{3}{16}\)</Incorrect Answer>
"
7,7,Believes gradient = change in y,"<Construct Name>Calculate the gradient of a straight line</Construct Name>  
<Subject Name>Coordinate Geometry</Subject Name>  
<Question>Find the gradient of the line passing through the points (2, 3) and (5, 11).</Question>  
<Correct Answer>The gradient is calculated by the formula:
\[
\text{Gradient} = \frac{\Delta y}{\Delta x} = \frac{11 - 3}{5 - 2} = \frac{8}{3}
\]</Correct Answer>  
<Incorrect Answer>The gradient is just the change in \( y \), so it is \( 8 \).</Incorrect Answer>  
"
8,8,Student thinks that any two angles along a straight line are equal,"<Construct Name>Determine missing angles using angles on a straight line relationship </Construct Name>  
<Subject Name>Basic Angle Facts (straight line, supplementary, adjacent, etc.) </Subject Name>  
<Question>If angle \( x \) and angle \( y \) are on a straight line, and angle \( x \) measures \( 75^{\circ} \), what is the measure of angle \( y \)? ![A straight line is intersected in the middle, forming two angles on a straight line: one labeled 75 degrees and the other labeled y.]() </Question>  
<Correct Answer>\( 105^{\circ} \) </Correct Answer>  
<Incorrect Answer>\( 75^{\circ} \) </Incorrect Answer>  
"
9,9,Thinks there are 180 degrees in a full turn,"<Construct Name>Understanding angles around a point and rotation</Construct Name>
<Subject Name>Geometry and Measurement</Subject Name>
<Question>A car turns around a circular track. It starts facing north and makes a full turn to face north again. How many degrees did it turn?</Question>
<Correct Answer>The car turned \(360^{\circ}\).</Correct Answer>
<Incorrect Answer>The car turned \(180^{\circ}\).</Incorrect Answer>
"
