,MisconceptionId,MisconceptionName,response
0,0,Does not know that angles in a triangle sum to 180 degrees,"**Misconception:** Does not know that angles in a triangle sum to 180 degrees

<Construct Name>Determine angles in a triangle given their ratio</Construct Name>
<Subject Name>Triangle Angle Sum</Subject Name>
<Question>In triangle ABC, angle \( A \) is three times angle \( B \), and angle \( C \) is twice angle \( B \). What is the measure of angle \( B \)?</Question>
<Correct Answer>\( 30^{\circ} \)</Correct Answer>
<Incorrect Answer>\( 60^{\circ} \)</Incorrect Answer>
"
1,1,Uses dividing fractions method for multiplying fractions,"Misconception: Uses dividing fractions method for multiplying fractions

<Construct Name>Multiply proper fractions in the form: Fraction × Fraction</Construct Name>
<Subject Name>Multiplying Fractions</Subject Name>
<Question>\( \frac{4}{5} \times \frac{3}{7} =? \)</Question> 
<Correct Answer>\( \frac{12}{35} \)</Correct Answer>
<Incorrect Answer>\( \frac{28}{15} \)</Incorrect Answer>
"
2,2,Believes there are 100 degrees in a full turn,"**Misconception**: Believes there are 100 degrees in a full turn

<Construct Name>Convert fractions of a turn to degrees</Construct Name>
<Subject Name>Angle Measurement</Subject Name>
<Question>Calculate the number of degrees in \( \frac{5}{3} \) full turns.</Question> 
<Correct Answer>\( 600\degree \)</Correct Answer>
<Incorrect Answer>\( 166.67\degree \)</Incorrect Answer>
"
3,3,"Thinks a quadratic without a non variable term, can not be factorised","**Misconception:** Thinks a quadratic without a non-variable term cannot be factorised

<Construct Name>Factorisation of Quadratic Expressions Without Constant Terms</Construct Name>  
<Subject Name>Algebra - Quadratic Factorisation</Subject Name>  

<Question>Factorise the quadratic expression below completely:</Question>  
\[
2x^{2} + 8x
\]
  
**Options:**  
A) \( 2x(x + 4) \)  
B) \( (2x + 8)(x) \)  
C) Cannot be factorised  
D) \( 2(x^{2} + 8x) \)  

<Correct Answer>A) \( 2x(x + 4) \)</Correct Answer>  
<Incorrect Answer>C) Cannot be factorised</Incorrect Answer>
"
4,4,Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c,"**Misconception:** Believes addition of terms and powers of terms are equivalent e.g., \( a + c = a^c \)

<Construct Name>Simplify algebraic expressions by correctly combining like terms</Construct Name>

<Subject Name>Algebraic Expression Simplification</Subject Name>

<Question>Simplify the following expression:
\[
4a + 5b
\]</Question>

<Answer Choices>
A. \(9ab\)  
B. \(4a + 5b\)  
C. \(a^b\)  
D. \( \frac{4}{5}a + b \)
</Answer Choices>

<Correct Answer>B. \(4a + 5b\)</Correct Answer>

<Incorrect Answer>C. \(a^b\)</Incorrect Answer>
"
5,5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead","**Misconception:** When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead

<Construct Name>Identify and measure reflex angles correctly</Construct Name>
<Subject Name>Geometry - Angle Measurement</Subject Name>
<Question>A diagram shows an angle measuring 150 degrees. What is the measure of its reflex angle?</Question>
<Correct Answer>210 degrees</Correct Answer>
<Incorrect Answer>150 degrees</Incorrect Answer>
"
6,6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,"**Misconception**: Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator

<Construct Name>Creating Equivalent Fractions by Multiplying the Denominator</Construct Name>
<Subject Name>Equivalent Fractions</Subject Name>
<Question>
Find the equivalent fraction for \( \frac{5}{8} \) with a denominator of 24.
<br/>
**A)** \( \frac{5}{24} \)
<br/>
**B)** \( \frac{10}{24} \)
<br/>
**C)** \( \frac{15}{24} \)
<br/>
**D)** \( \frac{20}{24} \)
</Question>
<Correct Answer>**C)** \( \frac{15}{24} \)</Correct Answer>
<Incorrect Answer>**A)** \( \frac{5}{24} \)</Incorrect Answer>

**Explanation:**

- **Correct Solution**:
  - To find an equivalent fraction with a denominator of 24, determine the multiplier:
    \[
    8 \times 3 = 24
    \]
  - Apply the same multiplier to the numerator:
    \[
    5 \times 3 = 15
    \]
  - Thus, the equivalent fraction is \( \frac{15}{24} \).

- **Incorrect Solution (Resulting from the Misconception)**:
  - Identify the multiplier for the denominator:
    \[
    8 \times 3 = 24
    \]
  - *Fail to apply the multiplier to the numerator*, leaving it unchanged:
    \[
    \frac{5}{24}
    \]
  - This results in the incorrect equivalent fraction \( \frac{5}{24} \).
"
7,7,Believes gradient = change in y,"**Misconception:** Believes gradient = change in y

<Construct Name>Calculating the Slope of a Line Between Two Points</Construct Name>
<Subject Name>Coordinate Geometry</Subject Name>
<Question>What is the gradient of the line passing through the points \( A(2, 3) \) and \( B(5, 11) \)?

A) \( 8 \)  
B) \( \frac{8}{3} \)  
C) \( 3 \)  
D) \( \frac{3}{8} \)  
</Question>
<Correct Answer>B) \( \frac{8}{3} \)</Correct Answer>
<Incorrect Answer>A) \( 8 \)</Incorrect Answer>
"
8,8,Student thinks that any two angles along a straight line are equal,"**Misconception:** Student thinks that any two angles along a straight line are equal

<Construct Name>Understanding Linear Pair Angle Relationships</Construct Name>
<Subject Name>Basic Angle Facts (straight line, complementary, supplementary)</Subject Name>
<Question>Two adjacent angles lie on a straight line as shown below. Which of the following statements is always true?

A) The two angles are equal.

B) The sum of the two angles is \(90^{\circ}\).

C) The sum of the two angles is \(180^{\circ}\).

D) Both angles are right angles.</Question>
<Correct Answer>C) The sum of the two angles is \(180^{\circ}\).</Correct Answer>
<Incorrect Answer>A) The two angles are equal.</Incorrect Answer>
"
9,9,Thinks there are 180 degrees in a full turn,"**Misconception:** Thinks there are 180 degrees in a full turn

<Construct Name>Understanding Full Rotations and Angle Measures</Construct Name>
<Subject Name>Geometry - Angle Measurement</Subject Name>
<Question>A circular spinner is divided into 5 equal sectors. What is the measure of each angle at the center of the spinner?

A) \(72^{\circ}\)  
B) \(36^{\circ}\)  
C) \(90^{\circ}\)  
D) \(45^{\circ}\)  
</Question>
  
<Correct Answer>\(72^{\circ}\)</Correct Answer>
  
<Incorrect Answer>\(36^{\circ}\)</Incorrect Answer>
"
