,MisconceptionId,MisconceptionName,response
0,0,Does not know that angles in a triangle sum to 180 degrees,"<Construct Name>Exterior Angle Theorem in a Triangle</Construct Name>
<Subject Name>Angles in Triangles</Subject Name>
<Question>A triangle has angles labeled \( 40^{\circ} \), \( x^{\circ} \), and \( y^{\circ} \). If the exterior angle at the vertex of \( x \) is \( 150^{\circ} \), what is \( x \)?</Question>
<Correct Answer>\( 30^{\circ} \) </Correct Answer>
<Incorrect Answer>Not enough information</Incorrect Answer>

<Construct Name>Understanding Isosceles Triangle Properties</Construct Name>
<Subject Name>Triangles and their Properties</Subject Name>
<Question>In an isosceles triangle, two angles are \( 70^{\circ} \) each. Find the angle of symmetry line opposite to the base.</Question>
<Correct Answer>\( 40^{\circ} \) </Correct Answer>
<Incorrect Answer>Not enough information</Incorrect Answer>

<Construct Name>Complementary and Supplementary Angles in Polygons</Construct Name>
<Subject Name>Polygon Angles</Subject Name>
<Question>In a polygon that includes a triangle and one exterior angle of \( 120^{\circ} \), what is the measure of the angle supplementary to the interior angle of \( 60^{\circ} \)?</Question>
<Correct Answer>\( 120^{\circ} \) </Correct Answer>
<Incorrect Answer>Not enough information</Incorrect Answer>
"
1,1,Uses dividing fractions method for multiplying fractions,"<Construct Name>Multiply mixed numbers </Construct Name>  
<Subject Name>Multiplying Fractions and Mixed Numbers </Subject Name>  
<Question>Multiply \(1 \frac{1}{2}\) by \(2 \frac{1}{3}\) and express the result as a fraction or mixed number.</Question>  
<Correct Answer>\(\frac{35}{6}\) or \(5 \frac{5}{6}\) </Correct Answer>  
<Incorrect Answer>\(\frac{7}{6}\) </Incorrect Answer>  
"
2,2,Believes there are 100 degrees in a full turn,"<Construct Name>Identify the degrees of rotational symmetry</Construct Name>  
<Subject Name>Geometry and Symmetry</Subject Name>  
<Question>Determine the angle of rotation needed for a figure to undergo two full turns and land back on itself.</Question>  
<Correct Answer>\( 720^{\circ} \)</Correct Answer>  
<Incorrect Answer>\( 200^{\circ} \)</Incorrect Answer>  

---

<Construct Name>Calculate angles from time passed on a clock</Construct Name>  
<Subject Name>Time and Angles</Subject Name>  
<Question>If the minute hand of a clock moves 2.25 full turns, how many degrees has it rotated?</Question>  
<Correct Answer>\( 810^{\circ} \)</Correct Answer>  
<Incorrect Answer>\( 225^{\circ} \)</Incorrect Answer>  

---

<Construct Name>Identify angles for pie chart sections</Construct Name>  
<Subject Name>Data Interpretation and Chart Analysis</Subject Name>  
<Question>What degree should be used to represent a sector that is \( \frac{1}{2} \) of the pie chart?</Question>  
<Correct Answer>\( 180^{\circ} \)</Correct Answer>  
<Incorrect Answer>\( 50^{\circ} \)</Incorrect Answer>
"
3,3,"Thinks a quadratic without a non variable term, can not be factorised","<Construct Name>Factorise a quadratic expression by taking out the greatest common factor (GCF)</Construct Name>

<Subject Name>Quadratic Expressions and Factorisation</Subject Name>

<Question>Factorise this expression, if possible:
\( x^{2} + 7x \) </Question>

<Correct Answer>\( x(x + 7) \) </Correct Answer>

<Incorrect Answer>Does not factorise </Incorrect Answer>
"
4,4,Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c,"<Construct Name>Simplify algebraic expressions to maintain equivalence by collecting like terms involving both numerical constants and variables </Construct Name>
<Subject Name>Simplifying Expressions by Collecting Like Terms </Subject Name>
<Question>Simplify, if possible:
\[
x + 3
\] </Question>
<Correct Answer>\(x + 3\) (no further simplification if \(x\) is a standalone variable and not a number) </Correct Answer>
<Incorrect Answer>\(x^{3}\) </Incorrect Answer>
"
5,5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead","<Construct Name>Identify and measure reflex angles</Construct Name>
<Subject Name>Angles and Geometry</Subject Name>
<Question>Measure and identify the reflex angle at point X when the lines form an angle of 135°.</Question>
<Correct Answer>The reflex angle at point X is 225°.</Correct Answer>
<Incorrect Answer>The reflex angle at point X is 135°.</Incorrect Answer>
"
6,6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,"<Construct Name>Identify equivalent fractions through scaling </Construct Name>

<Subject Name>Equivalent Fractions and Simplification </Subject Name>

<Question>What fraction should replace the blank to make the equation true? \( \frac{3}{5} = \frac{}{20} \) </Question>

<Correct Answer>\( \frac{3}{5} = \frac{12}{20} \) </Correct Answer>

<Incorrect Answer>\( \frac{3}{5} = \frac{4}{20} \) </Incorrect Answer>
"
7,7,Believes gradient = change in y,"<Construct Name>Calculate the gradient of a line from two points </Construct Name>  
<Subject Name>Coordinate Geometry </Subject Name>  
<Question>What is the gradient of the line passing through the points \( (1, 2) \) and \( (4, 8) \) ? </Question>  
<Correct Answer>The gradient is \(\frac{8 - 2}{4 - 1} = \frac{6}{3} = 2\). </Correct Answer>  
<Incorrect Answer>The gradient is \(8 - 2 = 6\). </Incorrect Answer>  

Misconception: Believes gradient = change in y 

You are a Mathematics teacher. The above misconception is common errors made by students when solving math problems.  
Please try to speculate on what kind of math problems the students might be working on when they make such  
misunderstandings.You need to speculate on the Construct Name and the Subject Name of the problem where this  
misunderstanding arises and then write out a possible math problem that could lead to the above misunderstanding.  
Next, you should provide the correct answer to the problem as well as the incorrect answer resulting from this  
misunderstanding. Each output field must be between <tag> INSERT TEXT HERE </tag>. Output:  

<Construct Name>Determine the slope of a line segment given endpoints </Construct Name>  
<Subject Name>Coordinate Geometry </Subject Name>  
<Question>Find the slope of the line segment with endpoints \( (-2, 5) \) and \( (3, 20) \). </Question>  
<Correct Answer>The slope is \(\frac{20 - 5}{3 - (-2)} = \frac{15}{5} = 3\). </Correct Answer>  
<Incorrect Answer>The slope is \(20 - 5 = 15\). </Incorrect Answer>  
"
8,8,Student thinks that any two angles along a straight line are equal,"<Construct Name>Identify supplementary angles on a straight line</Construct Name>  
<Subject Name>Basic Angle Facts (straight line, opposite, around a point, etc)</Subject Name>  
<Question>Two angles, \( x \) and \( y \), form a straight line. If angle \( x \) is given as \( 75^{\circ} \), what is the size of angle \( y \) ? ![Two angles on a straight line: x labeled as 75 degrees, and y as the unknown]()</Question>  
<Correct Answer>\( 105^{\circ} \)</Correct Answer>  
<Incorrect Answer>\( 75^{\circ} \)</Incorrect Answer>  
"
9,9,Thinks there are 180 degrees in a full turn,"<Construct Name>Understanding angles in a circle and complete turns</Construct Name>

<Subject Name>Circular Geometry and Angles</Subject Name>

<Question>A figure shows a circle centered at point O, with two radius lines OA and OB forming an angle and the arc between them. Find the measure of angle AOB if it completes a full turn around the circle.</Question>

<Correct Answer>The measure of \(\angle AOB = 360^{\circ}\)</Correct Answer>

<Incorrect Answer>The measure of \(\angle AOB = 180^{\circ}\)</Incorrect Answer>
"
